city_name,locode,region_name,population,fcm_dependency_pct,fcm_dependency_band,poverty_rate,median_household_income,city_id,country_code,disability_prevalence,electricity_access_rate,employment_agriculture_forestry,employment_construction,employment_electricity_gas,employment_in_transport_and_logistics,employment_manufacturing,employment_mining,employment_water_waste,fixed_internet_household_share,home_ownership,indigenous_identification_rate,literacy_rate,mean_years_schooling,public_transport_share,renter_share,unemployment_rate,total_income_2023_mclp,ipp_percapita_2023_mclp,ipp_share_total_pct_2023,total_income_pc_clp,staff_planta_2023,staff_contrata_2023,total_staff_2023,professionalization_pct_2023,staff_per_1000_2023,prof_staff_abs,p_fcm,p_ipppc,p_ippsh,cofinance_score,p_prof,p_profstaff,p_totinc,anchor_score,composite_score
Corral,CL CRR,Los Ríos,5493.0,88.47,very high (dependent),12.53,813000.0,62gud2hq4rrsvur4btdn,CL,15.25,98.39,21.74,9.64,0.28,11.39,9.03,0.57,1.23,15.21,80.48,28.25,94.42,9.01,33.92,7.09,3.71,4166117.0,64.2,8.37,758441.0,28.0,6.0,34.0,44.12,6.19,15.0008,8.280254777070056,16.666666666666664,7.051282051282051,10.7,71.04377104377105,5.05050505050505,7.6923076923076925,27.9,19.3
Máfil,CL MAF,Los Ríos,8036.0,80.0,very high (dependent),32.89,873481.0,62unjyq2bu87wkf13yp2,CL,12.92,98.94,24.26,8.91,0.39,4.76,9.94,1.03,1.22,31.71,67.65,17.83,94.39,9.31,26.61,13.06,15.02,4112239.0,78.14,14.03,511727.0,30.0,23.0,53.0,37.74,6.6,20.002200000000002,24.522292993630572,29.166666666666668,22.756410256410255,25.5,46.801346801346796,13.468013468013467,7.371794871794872,22.5,24.0
Los Lagos,CL LLG,Los Ríos,21421.0,67.53,high,23.9,900828.0,62umhur7qh5p808vkbem,CL,12.92,98.93,19.16,11.28,0.82,6.08,12.07,0.99,0.76,31.18,66.92,14.41,93.35,8.95,15.46,13.82,5.5,7539992.0,81.37,22.15,351991.0,70.0,24.0,94.0,38.3,4.39,36.001999999999995,51.910828025477706,32.69230769230769,43.91025641025641,42.8,47.81144781144781,48.821548821548824,39.1025641025641,45.2,44.0
Paillaco,CL PAO,Los Ríos,19719.0,67.22,high,28.0,803695.0,62uhn2tnhkg18mgfe4pe,CL,11.51,99.35,22.17,9.07,2.38,6.33,7.6,0.87,0.99,34.82,66.34,17.68,93.85,9.03,16.53,14.01,10.03,8358367.0,85.41,21.37,423874.0,27.0,47.0,74.0,56.76,3.75,42.0024,52.86624203821656,37.17948717948718,40.38461538461539,43.5,91.91919191919192,56.9023569023569,41.98717948717949,63.6,53.6
Valdivia,CL ZAL,Los Ríos,166958.0,56.98,high,15.47,1088166.0,62gvqzr8df70vknj13re,CL,10.84,99.73,3.43,7.86,0.94,5.47,8.64,0.4,0.68,71.91,59.22,16.34,96.45,11.01,33.1,28.21,8.15,54497643.0,109.41,36.31,326415.0,372.0,273.0,645.0,41.09,3.86,265.0305,66.2420382165605,53.205128205128204,77.56410256410257,65.7,59.93265993265994,96.63299663299664,90.06410256410257,82.2,74.0
