city_name,locode,region_name,population,fcm_dependency_pct,fcm_dependency_band,poverty_rate,median_household_income,city_id,country_code,disability_prevalence,electricity_access_rate,employment_agriculture_forestry,employment_construction,employment_electricity_gas,employment_in_transport_and_logistics,employment_manufacturing,employment_mining,employment_water_waste,fixed_internet_household_share,home_ownership,indigenous_identification_rate,literacy_rate,mean_years_schooling,public_transport_share,renter_share,unemployment_rate,total_income_2023_mclp,ipp_percapita_2023_mclp,ipp_share_total_pct_2023,total_income_pc_clp,staff_planta_2023,staff_contrata_2023,total_staff_2023,professionalization_pct_2023,staff_per_1000_2023,prof_staff_abs,p_fcm,p_ipppc,p_ippsh,cofinance_score,p_prof,p_profstaff,p_totinc,anchor_score,composite_score
Isla de Pascua,CL IPC,Valparaíso,4773.0,99.17,very high (dependent),,,3e4jxxjjg13tc9hwekv5,CL,6.08,99.52,5.39,3.97,1.34,4.13,4.5,0.36,1.46,7.31,58.85,59.56,96.74,10.49,,31.62,,20850251.0,19.24,0.81,4368374.0,61.0,28.0,89.0,32.58,18.65,28.996199999999998,0.0,0.3205128205128205,0.3205128205128205,0.2,25.925925925925924,31.313131313131315,76.6025641025641,44.6,22.4
Camiña,CL CMA,Tarapacá,1335.0,96.4,very high (dependent),28.54,882500.0,6kw9f9fh19vk9xedgz97,CL,11.76,97.29,38.72,8.51,0.64,3.19,2.34,2.13,0.43,5.11,65.85,87.32,92.51,7.45,0.0,12.27,2.53,3098153.0,65.41,2.91,2320714.0,,,,,,,0.31847133757962354,17.94871794871795,0.641025641025641,6.3,,,2.8846153846153846,2.9,4.6
Timaukel,CL TIM,Magallanes y de la Antártica Chilena,147.0,94.55,very high (dependent),0.0,1340000.0,4qqe9scg4k9yxfzes9bm,CL,2.16,100.0,31.68,1.98,0.0,0.99,0.0,0.0,0.0,14.75,9.68,19.73,97.84,10.53,0.0,17.74,0.0,2822118.0,352.48,3.47,19198082.0,18.0,3.0,21.0,57.14,142.86,11.9994,0.6369426751592329,91.66666666666666,0.9615384615384616,31.1,92.25589225589226,2.0202020202020203,1.9230769230769231,32.1,31.6
O'Higgins,CL OHI,Aysén del General Carlos Ibáñez del Campo,647.0,93.97,very high (dependent),,,4rkhjncu2nd3x2cg8suk,CL,7.53,99.31,11.2,5.87,1.6,4.53,3.47,0.27,2.93,11.68,47.6,28.48,96.07,9.63,,31.16,,2872607.0,181.72,4.25,4439887.0,10.0,7.0,17.0,58.82,26.28,9.999400000000001,0.9554140127388564,80.76923076923077,1.6025641025641024,27.8,93.26599326599326,1.0101010101010102,2.2435897435897436,32.2,30.0
General Lagos,CL GLG,Arica y Parinacota,504.0,93.51,very high (dependent),50.0,505000.0,6kyd8f59dje9wp7uc2sp,CL,18.74,93.09,50.0,10.19,0.46,4.63,6.02,0.93,0.0,1.77,51.33,94.42,87.34,5.72,0.0,7.52,37.45,2324296.0,147.31,5.1,4611698.0,13.0,4.0,17.0,47.06,33.73,8.0002,1.2738853503184657,73.07692307692307,2.2435897435897436,25.5,79.12457912457911,0.6734006734006733,0.3205128205128205,26.7,26.1
San Rosendo,CL SRO,Biobío,3574.0,93.43,very high (dependent),22.64,650601.0,63kk31w120n80v2c0p01,CL,14.63,98.93,6.35,16.24,2.56,5.83,11.12,5.12,0.62,41.6,71.56,4.42,93.98,9.61,6.11,12.03,10.95,3997585.0,52.5,4.68,1118518.0,20.0,17.0,37.0,45.95,10.35,17.0015,1.5923566878980893,9.294871794871796,1.9230769230769231,4.3,77.10437710437711,8.080808080808081,6.089743589743589,30.4,17.3
Contulmo,CL CTM,Biobío,5898.0,91.89,very high (dependent),31.36,612889.0,635zw08xmtru8f9ysjsv,CL,19.76,97.8,14.96,8.09,0.26,4.81,6.03,1.27,0.53,32.11,72.33,30.79,92.72,8.74,4.0,11.98,6.35,5813125.0,54.93,6.0,985610.0,39.0,25.0,64.0,43.75,10.85,28.0,1.9108280254777128,11.538461538461538,2.8846153846153846,5.4,69.52861952861953,29.96632996632997,25.0,41.5,23.4
Melipeuco,CL MLP,La Araucanía,6759.0,91.88,very high (dependent),50.15,588341.0,63j54knt72sx69kqv546,CL,14.38,97.82,14.83,10.5,2.21,2.57,6.33,0.82,1.27,7.29,69.59,52.33,93.17,8.91,4.78,13.11,18.87,5918755.0,54.79,5.84,875685.0,26.0,33.0,59.0,30.51,8.73,18.0009,2.229299363057322,11.217948717948719,2.564102564102564,5.3,17.17171717171717,10.1010101010101,25.64102564102564,17.6,11.5
Saavedra,CL SAA,La Araucanía,12863.0,91.87,very high (dependent),51.96,554475.0,635gh4ezmruwgv0yf36x,CL,17.62,90.9,23.13,9.85,0.52,5.2,5.77,0.44,1.57,8.42,77.04,80.77,91.61,8.09,25.2,6.23,16.31,6930154.0,35.43,6.49,538767.0,48.0,35.0,83.0,30.12,6.45,24.9996,2.5477707006369457,1.6025641025641024,3.8461538461538463,2.7,15.151515151515152,23.905723905723907,32.371794871794876,23.8,13.2
San Juan de la Costa,CL SJC,Los Lagos,7766.0,91.68,very high (dependent),38.55,652826.0,62g9w1fyg9xrder1fcff,CL,17.53,91.83,31.07,12.55,1.62,4.49,6.59,0.38,1.0,2.43,81.53,75.83,91.58,7.88,12.71,3.23,3.39,5955300.0,50.25,6.31,766843.0,21.0,26.0,47.0,40.43,6.05,19.0021,2.866242038216555,8.653846153846153,3.5256410256410255,5.0,57.91245791245792,11.784511784511785,25.961538461538463,31.9,18.4
Tirúa,CL TIR,Biobío,10188.0,91.43,very high (dependent),39.38,623909.0,635y1u5yk6ugp5bpk2h9,CL,14.79,98.38,28.29,6.31,0.44,4.4,4.9,0.47,0.81,2.5,77.93,68.25,91.68,8.16,15.27,11.06,18.85,6233910.0,36.63,6.52,611888.0,38.0,35.0,73.0,50.68,7.17,36.9964,3.1847133757961785,1.9230769230769231,4.166666666666666,3.1,84.51178451178451,49.494949494949495,27.884615384615387,54.0,28.6
Portezuelo,CL POR,Ñuble,5188.0,90.96,very high (dependent),34.01,689722.0,63s2nfzqmj2ge1yfur9d,CL,22.37,98.86,30.59,10.77,0.32,4.68,6.73,0.92,1.24,17.16,78.24,3.07,90.44,8.46,12.22,6.16,22.59,4431771.0,55.74,6.15,854235.0,34.0,30.0,64.0,100.0,12.34,64.0,3.503184713375802,11.858974358974358,3.205128205128205,6.2,99.83164983164983,73.23232323232324,10.897435897435898,61.3,33.8
Navidad,CL NAV,Libertador General Bernardo O'Higgins,8881.0,90.68,very high (dependent),36.9,810000.0,63uyt8jyp5k45d290j43,CL,12.98,98.9,8.47,17.21,1.1,3.22,5.7,0.62,1.19,21.06,69.24,5.77,93.52,9.52,10.74,14.18,13.24,8548701.0,100.89,8.36,962583.0,59.0,42.0,101.0,37.62,11.37,37.996199999999995,3.8216560509554114,48.717948717948715,6.730769230769231,19.8,45.79124579124579,51.178451178451176,42.628205128205124,46.5,33.2
Ninhue,CL NIN,Ñuble,5762.0,90.66,very high (dependent),20.3,781435.0,63s90m2yee689x7r85s7,CL,21.52,98.65,21.43,10.86,1.06,7.11,5.81,0.76,1.12,14.56,80.03,2.54,89.8,8.4,20.4,6.5,5.49,4245116.0,54.74,6.92,736743.0,23.0,25.0,48.0,43.75,8.33,21.0,4.140127388535035,10.897435897435898,4.487179487179487,6.5,69.52861952861953,15.31986531986532,8.653846153846153,31.2,18.8
Toltén,CL TOL,La Araucanía,10032.0,90.34,very high (dependent),54.31,637889.0,63h0ckg0knpmp0vu6q74,CL,16.29,96.97,27.02,8.64,0.54,4.57,4.71,0.97,1.08,11.59,72.02,45.24,93.08,8.58,14.54,11.23,5.32,4884740.0,44.21,9.02,486916.0,40.0,26.0,66.0,43.94,6.58,29.000399999999996,4.458598726114644,4.967948717948718,9.455128205128204,6.3,70.37037037037037,32.996632996633,13.461538461538462,38.9,22.6
