city_name,locode,region_name,population,employment_agriculture_forestry,employment_mining,employment_manufacturing,public_transport_share,sal_StationaryEnergy,sal_Transportation,sal_Waste,sal_AFOLU,sal_IPPU
Isla de Pascua,CL IPC,Valparaíso,4773.0,5.39,0.36,4.5,,1,0,0,0,0
Camiña,CL CMA,Tarapacá,1335.0,38.72,2.13,2.34,0.0,1,0,0,1,0
Timaukel,CL TIM,Magallanes y de la Antártica Chilena,147.0,31.68,0.0,0.0,0.0,1,0,0,1,0
O'Higgins,CL OHI,Aysén del General Carlos Ibáñez del Campo,647.0,11.2,0.27,3.47,,1,0,0,0,0
General Lagos,CL GLG,Arica y Parinacota,504.0,50.0,0.93,6.02,0.0,1,0,0,1,0
San Rosendo,CL SRO,Biobío,3574.0,6.35,5.12,11.12,6.11,1,0,0,0,1
Contulmo,CL CTM,Biobío,5898.0,14.96,1.27,6.03,4.0,1,0,0,0,0
Melipeuco,CL MLP,La Araucanía,6759.0,14.83,0.82,6.33,4.78,1,0,0,0,0
Saavedra,CL SAA,La Araucanía,12863.0,23.13,0.44,5.77,25.2,1,1,0,1,0
San Juan de la Costa,CL SJC,Los Lagos,7766.0,31.07,0.38,6.59,12.71,1,0,0,1,0
Tirúa,CL TIR,Biobío,10188.0,28.29,0.47,4.9,15.27,1,0,0,1,0
Portezuelo,CL POR,Ñuble,5188.0,30.59,0.92,6.73,12.22,1,0,0,1,0
Navidad,CL NAV,Libertador General Bernardo O'Higgins,8881.0,8.47,0.62,5.7,10.74,1,0,0,0,0
Ninhue,CL NIN,Ñuble,5762.0,21.43,0.76,5.81,20.4,1,1,0,1,0
Toltén,CL TOL,La Araucanía,10032.0,27.02,0.97,4.71,14.54,1,0,0,1,0
Carahue,CL CAR,La Araucanía,24941.0,18.35,0.87,6.02,30.19,1,1,1,1,0
Teodoro Schmidt,CL TEO,La Araucanía,15633.0,31.4,0.45,5.03,14.71,1,0,0,1,0
Palena,CL PAL,Los Lagos,1896.0,11.94,0.23,4.57,,1,0,0,0,0
Curaco de Vélez,CL CDV,Los Lagos,3662.0,24.48,0.14,14.0,21.52,1,1,0,1,1
Lonquimay,CL LQY,La Araucanía,10147.0,16.26,1.31,4.37,2.56,1,0,0,1,0
Curarrehue,CL CRE,La Araucanía,7729.0,13.54,0.7,7.49,25.65,1,1,0,0,0
Lumaco,CL LUM,La Araucanía,9248.0,35.78,0.61,4.25,6.32,1,0,0,1,0
Futaleufú,CL FFU,Los Lagos,3050.0,10.11,0.33,5.29,,1,0,0,0,0
Empedrado,CL EMP,Maule,3986.0,22.6,1.87,17.55,12.3,1,0,0,1,1
Putre,CL PUT,Arica y Parinacota,1368.0,21.69,1.54,4.92,0.0,1,0,0,1,0
Pelluhue,CL PLH,Maule,8562.0,21.9,0.57,7.15,17.32,1,0,0,1,0
Corral,CL CRR,Los Ríos,5493.0,21.74,0.57,9.03,33.92,1,1,0,1,1
Purén,CL PUR,La Araucanía,12161.0,19.22,1.12,6.14,13.74,1,0,0,1,0
Cholchol,CL CHL,La Araucanía,13138.0,19.3,0.69,6.19,15.35,1,0,0,1,0
Treguaco,CL TRE,Ñuble,6124.0,26.68,0.81,13.59,8.96,1,0,0,1,1
Paredones,CL PAR,Libertador General Bernardo O'Higgins,7228.0,30.96,1.65,5.16,7.82,1,0,0,1,0
El Tabo,CL ELT,Valparaíso,16222.0,1.1,0.99,6.59,17.75,1,0,0,0,0
Cartagena,CL CGN,Valparaíso,24544.0,3.99,1.27,7.13,38.53,1,1,1,0,0
Galvarino,CL GAL,La Araucanía,12709.0,29.87,0.5,5.12,17.91,1,0,0,1,0
Quillón,CL QIN,Ñuble,19116.0,15.97,2.08,10.39,15.29,1,0,0,1,1
Cochrane,CL COC,Aysén del General Carlos Ibáñez del Campo,3378.0,10.5,0.18,3.81,0.0,1,0,0,0,0
Chanco,CL CHA,Maule,9436.0,32.27,2.49,5.39,7.5,1,0,0,1,0
Combarbalá,CL CBB,Coquimbo,12931.0,13.84,15.08,4.33,15.26,1,0,0,0,1
Cañete,CL CTE,Biobío,34566.0,13.1,1.27,6.14,15.75,1,1,1,0,0
Florida,CL FLO,Biobío,12924.0,16.65,1.47,7.31,31.52,1,1,0,1,0
Primavera,CL PRI,Magallanes y de la Antártica Chilena,431.0,24.31,3.53,5.88,0.0,1,0,0,1,1
Lebu,CL LEB,Biobío,25057.0,26.35,1.14,5.03,20.1,1,1,1,1,0
Ercilla,CL ERC,La Araucanía,7722.0,26.06,1.11,3.97,10.14,1,0,0,1,0
San Ignacio,CL SIN,Ñuble,17403.0,31.98,1.19,5.34,24.56,1,1,0,1,0
Antuco,CL ANT,Biobío,4362.0,8.48,10.38,6.72,8.63,1,0,0,0,1
Cobquecura,CL CBQ,Ñuble,5477.0,21.59,0.53,6.65,2.25,1,0,0,1,0
Quirihue,CL QRH,Ñuble,11634.0,22.14,0.89,6.38,18.62,1,1,0,1,0
Río Ibáñez,CL RIB,Aysén del General Carlos Ibáñez del Campo,2691.0,19.75,0.42,6.84,3.64,1,0,0,1,0
Queilén,CL QLN,Los Lagos,5675.0,32.63,0.13,10.18,4.19,1,0,0,1,1
Chile Chico,CL CCH,Aysén del General Carlos Ibáñez del Campo,4864.0,12.81,2.71,5.33,1.39,1,0,0,0,1
Nueva Imperial,CL NIM,La Araucanía,33729.0,13.16,0.79,7.15,28.07,1,1,1,0,0
Los Alamos,CL LAL,Biobío,21765.0,17.19,1.9,8.46,26.75,1,1,1,1,0
Lota,CL LTA,Biobío,39930.0,6.33,3.19,12.51,40.81,1,1,1,0,1
Coihueco,CL COI,Ñuble,29760.0,36.12,1.35,5.02,21.13,1,1,1,1,0
El Quisco,CL ELQ,Valparaíso,18896.0,1.36,0.77,6.74,20.8,1,1,0,0,0
Los Sauces,CL LSA,La Araucanía,7334.0,29.26,1.24,4.29,12.38,1,0,0,1,0
Monte Patria,CL MTP,Coquimbo,29956.0,33.7,13.21,3.56,19.42,1,1,1,1,1
Puqueldón,CL PQD,Los Lagos,4034.0,34.06,0.31,9.4,26.04,1,1,0,1,1
Curepto,CL CRT,Maule,9498.0,29.29,1.23,5.42,8.31,1,0,0,1,0
Curacautín,CL CCN,La Araucanía,18415.0,10.85,2.35,8.05,10.38,1,0,0,0,0
Hualqui,CL HQI,Biobío,25662.0,9.16,2.66,8.98,40.7,1,1,1,0,1
Perquenco,CL PQC,La Araucanía,7438.0,22.56,1.05,11.24,4.55,1,0,0,1,1
Río Hurtado,CL RHU,Coquimbo,4322.0,21.06,11.74,4.15,13.08,1,0,0,1,1
Longaví,CL LON,Maule,33288.0,45.2,1.44,4.58,14.79,1,1,1,1,0
Coltauco,CL CTC,Libertador General Bernardo O'Higgins,21348.0,30.85,3.01,13.15,17.86,1,1,1,1,1
Gorbea,CL GOR,La Araucanía,14058.0,17.01,0.82,8.78,24.63,1,1,0,1,0
