city_name,locode,region_name,population,employment_agriculture_forestry,employment_mining,employment_manufacturing,public_transport_share,sal_StationaryEnergy,sal_Transportation,sal_Waste,sal_AFOLU,sal_IPPU
Lo Prado,CL LPR,Metropolitana de Santiago,91118.0,0.29,0.95,8.95,64.51,1,1,1,0,0
Yumbel,CL YUM,Biobío,23027.0,14.29,1.97,10.07,21.22,1,1,1,0,1
Licantén,CL LIC,Maule,6865.0,19.18,0.92,7.74,16.98,1,0,0,1,0
Quilleco,CL QLO,Biobío,9693.0,23.29,1.87,7.01,15.42,1,0,0,1,0
Traiguén,CL TRA,La Araucanía,18531.0,20.64,0.52,5.32,9.38,1,0,0,1,0
Lo Espejo,CL LEJ,Metropolitana de Santiago,87079.0,0.38,0.86,11.08,62.57,1,1,1,0,1
Villa Alegre,CL VAG,Maule,17919.0,26.06,1.28,9.95,9.95,1,0,0,1,1
Coelemu,CL COE,Ñuble,15859.0,20.21,0.96,10.34,8.25,1,0,0,1,1
Pitrufquén,CL PIT,La Araucanía,26811.0,13.04,0.82,8.24,28.28,1,1,1,0,0
Lago Verde,CL LVD,Aysén del General Carlos Ibáñez del Campo,762.0,28.4,0.3,4.14,0.0,1,0,0,1,0
Lanco,CL LAN,Los Ríos,16861.0,14.67,1.54,14.42,14.97,1,0,0,0,1
Máfil,CL MAF,Los Ríos,8036.0,24.26,1.03,9.94,26.61,1,1,0,1,1
Ñiquén,CL NQN,Ñuble,12783.0,35.67,4.23,5.11,4.02,1,0,0,1,1
Tomé,CL TOM,Biobío,56766.0,7.85,1.62,9.74,41.15,1,1,1,0,1
Yungay,CL YUN,Ñuble,18500.0,10.58,1.58,17.58,15.66,1,0,0,0,1
Torres del Paine,CL TDP,Magallanes y de la Antártica Chilena,197.0,34.25,0.0,0.68,10.09,1,0,0,1,0
Quemchi,CL QMC,Los Lagos,8401.0,30.71,0.11,17.05,6.71,1,0,0,1,1
Pumanque,CL PUM,Libertador General Bernardo O'Higgins,4559.0,32.53,1.01,8.44,7.77,1,0,0,1,0
Quinchao,CL QCO,Los Lagos,7663.0,24.38,0.07,6.59,22.49,1,1,0,1,0
Freire,CL FRE,La Araucanía,26153.0,24.2,0.87,8.43,37.68,1,1,1,1,0
Curanilahue,CL CRN,Biobío,31041.0,10.77,3.48,11.38,13.86,1,1,1,0,1
El Carmen,CL ELC,Ñuble,13122.0,27.24,1.65,5.17,14.2,1,0,0,1,0
Coinco,CL COO,Libertador General Bernardo O'Higgins,7914.0,22.6,3.58,12.49,15.42,1,0,0,1,1
Putaendo,CL PTO,Valparaíso,17057.0,19.14,5.4,6.61,15.3,1,0,0,1,1
Colchane,CL CNE,Tarapacá,684.0,23.59,1.03,2.05,0.0,1,0,0,1,0
Maule,CL MAU,Maule,61008.0,9.15,1.76,8.86,30.72,1,1,1,0,0
Negrete,CL NEG,Biobío,10723.0,17.8,3.29,12.45,15.74,1,0,0,1,1
Cabrero,CL CAB,Biobío,31242.0,9.04,1.73,17.39,16.94,1,1,1,0,1
San Gregorio,CL SGR,Magallanes y de la Antártica Chilena,224.0,42.47,2.05,0.68,12.82,1,0,0,1,0
Vilcún,CL VCN,La Araucanía,31515.0,16.37,0.76,8.67,23.06,1,1,1,1,0
Punitaqui,CL PUN,Coquimbo,12063.0,18.72,21.49,4.66,20.21,1,1,0,1,1
Fresia,CL FRS,Los Lagos,12297.0,30.94,0.24,6.87,24.06,1,1,0,1,0
San Fabián,CL SFN,Ñuble,5241.0,18.61,1.38,6.87,4.22,1,0,0,1,0
Los Vilos,CL LOS,Coquimbo,22835.0,10.04,5.96,5.37,12.35,1,1,1,0,1
Cauquenes,CL CAU,Maule,42064.0,18.81,1.01,6.06,26.81,1,1,1,1,0
Angol,CL ANG,La Araucanía,52446.0,12.28,1.33,7.72,18.79,1,1,1,0,0
Dalcahue,CL DCH,Los Lagos,14889.0,21.39,0.35,16.28,18.57,1,1,0,1,1
Retiro,CL RET,Maule,22308.0,44.33,0.81,7.06,8.2,1,1,1,1,0
Maullín,CL MLL,Los Lagos,15054.0,35.18,0.21,8.03,24.32,1,1,0,1,0
Santa Juana,CL SJU,Biobío,14934.0,16.49,1.7,7.3,32.72,1,1,0,1,0
Loncoche,CL LNC,La Araucanía,25096.0,14.7,0.9,11.69,14.46,1,1,1,0,1
San Carlos,CL SCR,Ñuble,55629.0,17.05,2.89,8.26,21.52,1,1,1,1,1
Pichilemu,CL PLM,Libertador General Bernardo O'Higgins,19794.0,6.7,0.84,6.55,11.3,1,0,0,0,0
Puente Alto,CL PTA,Metropolitana de Santiago,564435.0,0.36,1.35,8.69,57.51,1,1,1,0,0
Padre Las Casas,CL PLC,La Araucanía,80567.0,7.26,0.7,8.62,45.8,1,1,1,0,0
Illapel,CL ILL,Coquimbo,31732.0,5.34,19.66,4.52,21.14,1,1,1,0,1
Los Muermos,CL LMU,Los Lagos,17138.0,36.54,0.18,7.17,15.63,1,0,0,1,0
Vicuña,CL VIC,Coquimbo,27996.0,21.76,11.54,6.15,12.68,1,1,1,1,1
Chépica,CL CHE,Libertador General Bernardo O'Higgins,15560.0,43.06,1.09,4.29,13.72,1,0,0,1,0
Placilla,CL PLA,Libertador General Bernardo O'Higgins,9437.0,39.76,1.36,7.47,18.37,1,1,0,1,0
Santa Bárbara,CL SBA,Biobío,14027.0,16.86,2.9,5.9,8.15,1,0,0,1,1
San Javier,CL SJV,Maule,49452.0,18.75,2.0,9.21,8.08,1,1,1,1,1
Victoria,CL ZIC,La Araucanía,34089.0,11.85,0.77,7.27,16.64,1,1,1,0,0
Bulnes,CL BUL,Ñuble,23785.0,18.75,3.23,10.98,28.62,1,1,1,1,1
Caldera,CL CLD,Atacama,18717.0,12.23,8.44,7.23,17.75,1,0,0,0,1
Ancud,CL ZUD,Los Lagos,40570.0,18.23,0.23,10.38,23.98,1,1,1,1,1
Quinta de Tilcoco,CL QDT,Libertador General Bernardo O'Higgins,13558.0,35.02,1.66,10.4,10.25,1,0,0,1,1
Peumo,CL PEU,Libertador General Bernardo O'Higgins,14076.0,29.43,1.02,11.75,11.35,1,0,0,1,1
Renaico,CL RNO,La Araucanía,10681.0,24.11,2.91,10.34,8.43,1,0,0,1,1
Alto Hospicio,CL AHP,Tarapacá,139445.0,0.85,10.47,5.87,37.87,1,1,1,0,1
Chimbarongo,CL CBG,Libertador General Bernardo O'Higgins,37249.0,37.31,1.19,8.83,12.61,1,1,1,1,0
Lolol,CL LOL,Libertador General Bernardo O'Higgins,7790.0,38.59,0.83,4.16,8.28,1,0,0,1,0
Río Negro,CL RNE,Los Lagos,13847.0,27.34,0.57,7.85,22.34,1,1,0,1,0
Parral,CL PRL,Maule,45014.0,19.41,1.25,7.94,17.04,1,1,1,1,0
San Clemente,CL SCT,Maule,47061.0,29.23,3.55,5.64,21.06,1,1,1,1,1
Tucapel,CL TUC,Biobío,15692.0,14.81,2.54,12.79,6.74,1,0,0,0,1
Canela,CL CAN,Coquimbo,9638.0,8.06,14.83,5.57,24.43,1,1,0,0,1
Laja,CL LAJ,Biobío,23691.0,5.55,3.93,18.61,23.89,1,1,1,0,1
San Pedro,CL SPE,Metropolitana de Santiago,11092.0,40.85,1.22,9.74,14.68,1,0,0,1,1
Molina,CL MOL,Maule,48477.0,29.76,0.72,10.8,24.28,1,1,1,1,1
Graneros,CL GRA,Libertador General Bernardo O'Higgins,35754.0,21.78,3.94,10.9,23.96,1,1,1,1,1
Constitución,CL CST,Maule,46888.0,15.47,1.18,14.88,24.34,1,1,1,1,1
Rauco,CL RAU,Maule,11265.0,37.05,0.82,6.53,15.99,1,0,0,1,0
Castro,CL WCA,Los Lagos,46664.0,10.76,0.26,9.85,27.42,1,1,1,0,1
Camarones,CL CAM,Arica y Parinacota,861.0,40.0,2.59,5.65,3.46,1,0,0,1,1
Mulchén,CL MUL,Biobío,28857.0,26.0,1.37,8.49,20.58,1,1,1,1,0
Pichidegua,CL PDH,Libertador General Bernardo O'Higgins,20320.0,37.8,0.74,11.52,10.96,1,1,1,1,1
Malloa,CL MAL,Libertador General Bernardo O'Higgins,13877.0,31.4,1.98,14.91,9.55,1,0,0,1,1
San Rafael,CL SRA,Maule,11225.0,21.9,2.93,8.14,13.06,1,0,0,1,1
Llaillay,CL LLA,Valparaíso,25442.0,21.13,6.56,9.64,31.59,1,1,1,1,1
Cunco,CL CUN,La Araucanía,19070.0,18.84,1.02,6.73,21.14,1,1,0,1,0
Freirina,CL FRN,Atacama,7558.0,12.16,15.18,6.87,21.93,1,1,0,0,1
Catemu,CL CAT,Valparaíso,13755.0,24.42,13.69,6.08,13.65,1,0,0,1,1
Yerbas Buenas,CL YBU,Maule,20010.0,38.28,1.87,6.79,18.3,1,1,1,1,0
Hualañé,CL HLE,Maule,10771.0,26.91,0.71,6.33,11.53,1,0,0,1,0
Huara,CL HUA,Tarapacá,2850.0,34.94,9.25,2.7,1.84,1,0,0,1,1
Villa Alemana,CL VIA,Valparaíso,139075.0,0.85,3.17,7.14,50.8,1,1,1,0,1
Arauco,CL ARA,Biobío,37049.0,18.97,1.52,13.27,12.41,1,1,1,1,1
Ollagüe,CL OLL,Antofagasta,256.0,2.16,4.32,2.88,,1,0,0,0,1
Andacollo,CL AND,Coquimbo,11562.0,2.31,38.85,4.65,39.17,1,1,0,0,1
Melipilla,CL MEL,Metropolitana de Santiago,135801.0,19.61,1.14,9.3,30.49,1,1,1,1,1
Linares,CL LIN,Maule,95795.0,10.98,1.91,6.02,19.57,1,1,1,0,0
Ranquil,CL RAN,Ñuble,6478.0,16.93,1.57,14.48,9.9,1,0,0,1,1
San Pedro de Atacama,CL SPA,Antofagasta,9782.0,3.18,7.52,5.05,6.55,1,0,0,0,1
Doñihue,CL DOH,Libertador General Bernardo O'Higgins,21888.0,10.53,5.25,20.66,7.81,1,1,1,0,1
Alto del Carmen,CL ADC,Atacama,4781.0,26.34,9.55,5.9,7.07,1,0,0,1,1
San Esteban,CL SES,Valparaíso,20103.0,14.15,13.19,5.55,31.14,1,1,1,0,1
Los Lagos,CL LLG,Los Ríos,21421.0,19.16,0.99,12.07,15.46,1,1,1,1,1
Codegua,CL COD,Libertador General Bernardo O'Higgins,13924.0,27.88,4.8,8.56,15.72,1,0,0,1,1
San Pablo,CL SPB,Los Lagos,10872.0,26.94,0.32,6.78,18.09,1,0,0,1,0
Paillaco,CL PAO,Los Ríos,19719.0,22.17,0.87,7.6,16.53,1,0,0,1,0
Panguipulli,CL PAN,Los Ríos,35049.0,11.89,0.77,7.82,11.47,1,1,1,0,0
Chaitén,CL WCH,Los Lagos,4007.0,19.36,0.23,5.2,,1,0,0,1,0
San Vicente,CL SVT,Libertador General Bernardo O'Higgins,49488.0,24.31,1.13,11.67,13.96,1,1,1,1,1
Pencahue,CL PEN,Maule,9159.0,37.5,1.71,8.97,6.85,1,0,0,1,0
Pinto,CL PIN,Ñuble,12434.0,17.24,1.22,5.81,18.17,1,0,0,1,0
Nacimiento,CL NAC,Biobío,26124.0,9.77,3.62,20.32,17.83,1,1,1,0,1
Penco,CL PEO,Biobío,48866.0,3.02,1.56,9.03,56.5,1,1,1,0,1
Santa María,CL SMA,Valparaíso,15120.0,30.42,4.78,4.47,9.38,1,0,0,1,1
Pemuco,CL PEM,Ñuble,8913.0,24.76,2.13,9.99,3.08,1,0,0,1,1
La Ligua,CL LIG,Valparaíso,39203.0,8.46,5.03,7.45,21.12,1,1,1,0,1
Ovalle,CL OVL,Coquimbo,117799.0,14.76,10.36,4.38,30.69,1,1,1,0,1
Calera,CL LCL,Valparaíso,50451.0,6.75,8.52,10.08,28.44,1,1,1,0,1
Quellón,CL PTE,Los Lagos,28386.0,27.03,0.21,16.07,15.71,1,1,1,1,1
Chillán Viejo,CL CHV,Ñuble,32611.0,6.24,1.36,9.25,41.72,1,1,1,0,1
Limache,CL LIM,Valparaíso,55481.0,9.07,3.0,6.77,42.64,1,1,1,0,1
Tocopilla,CL TOQ,Antofagasta,24583.0,5.55,14.72,6.28,32.74,1,1,1,0,1
Maipú,CL MAI,Metropolitana de Santiago,501786.0,0.52,1.51,9.3,53.0,1,1,1,0,1
Futrono,CL FUT,Los Ríos,15633.0,14.98,0.74,7.78,10.67,1,0,0,0,0
Río Verde,CL RVE,Magallanes y de la Antártica Chilena,102.0,75.31,0.0,1.23,0.0,1,0,0,1,0
Chiguayante,CL CHI,Biobío,85577.0,1.43,2.07,8.45,48.34,1,1,1,0,0
La Unión,CL LUN,Los Ríos,38724.0,17.85,0.73,12.24,27.22,1,1,1,1,1
Nogales,CL NOG,Valparaíso,22095.0,14.4,16.24,8.54,33.02,1,1,1,0,1
Calbuco,CL CBC,Los Lagos,36437.0,27.96,0.37,15.85,16.14,1,1,1,1,1
Collipulli,CL CPI,La Araucanía,24162.0,21.69,1.8,8.7,15.12,1,1,1,1,0
Petorca,CL PET,Valparaíso,10127.0,10.9,18.39,4.58,14.96,1,0,0,0,1
Aysén,CL PSN,Aysén del General Carlos Ibáñez del Campo,22825.0,16.08,1.15,8.49,7.19,1,1,1,1,0
Purranque,CL PRQ,Los Lagos,19526.0,24.8,0.28,10.71,17.51,1,0,0,1,1
Nancagua,CL NCG,Libertador General Bernardo O'Higgins,18684.0,33.16,0.81,9.51,11.02,1,0,0,1,1
Chonchi,CL CHO,Los Lagos,16072.0,20.27,0.41,17.97,11.59,1,0,0,1,1
San Felipe,CL SFP,Valparaíso,79677.0,17.0,5.08,6.32,26.35,1,1,1,1,1
Quilpué,CL QIL,Valparaíso,161636.0,0.95,2.89,6.98,46.36,1,1,1,0,1
Rengo,CL RGO,Libertador General Bernardo O'Higgins,63204.0,21.46,2.55,12.21,18.19,1,1,1,1,1
Peñaflor,CL PFL,Metropolitana de Santiago,93931.0,2.03,1.57,14.83,39.66,1,1,1,0,1
Vallenar,CL VLR,Atacama,53705.0,3.24,16.67,5.82,33.46,1,1,1,0,1
San Nicolás,CL SNI,Ñuble,15082.0,20.41,2.1,8.27,18.83,1,1,0,1,0
La Cruz,CL LCZ,Valparaíso,24915.0,12.45,9.9,6.4,22.7,1,1,1,0,1
Hijuelas,CL HIJ,Valparaíso,19279.0,31.5,5.45,5.93,12.99,1,0,0,1,1
Coyhaique,CL CXQ,Aysén del General Carlos Ibáñez del Campo,57136.0,6.4,0.68,4.9,14.72,1,1,1,0,0
Porvenir,CL PVR,Magallanes y de la Antártica Chilena,6673.0,15.83,0.93,22.58,4.76,1,0,0,1,1
Los Andes,CL LIB,Valparaíso,62524.0,3.93,14.22,5.59,23.43,1,1,1,0,1
Quillota,CL QTA,Valparaíso,95383.0,10.45,5.39,6.61,36.37,1,1,1,0,1
Valdivia,CL ZAL,Los Ríos,166958.0,3.43,0.4,8.64,33.1,1,1,1,0,0
Palmilla,CL PMA,Libertador General Bernardo O'Higgins,13056.0,39.78,0.86,7.51,19.26,1,1,0,1,0
Olivar,CL OLI,Libertador General Bernardo O'Higgins,13880.0,20.24,8.16,9.0,12.88,1,0,0,1,1
Talagante,CL TLG,Metropolitana de Santiago,75800.0,4.35,1.24,14.73,33.36,1,1,1,0,1
Peralillo,CL PER,Libertador General Bernardo O'Higgins,12492.0,27.84,0.7,13.34,12.82,1,0,0,1,1
Puerto Octay,CL POC,Los Lagos,8856.0,39.98,0.36,5.73,24.35,1,1,0,1,0
Puyehue,CL CSA,Los Lagos,11702.0,29.49,0.71,5.45,13.83,1,0,0,1,0
Arica,CL ARI,Arica y Parinacota,236109.0,7.49,6.34,5.33,25.94,1,1,1,0,1
El Monte,CL ELM,Metropolitana de Santiago,37292.0,12.11,1.2,15.68,23.68,1,1,1,0,1
Llanquihue,CL LIA,Los Lagos,18070.0,11.08,0.43,15.97,37.17,1,1,0,0,1
Teno,CL TEN,Maule,30087.0,35.69,1.18,8.67,2.28,1,1,1,1,0
Panquehue,CL PQH,Valparaíso,7266.0,35.85,4.51,5.17,22.62,1,1,0,1,1
Olmué,CL OLM,Valparaíso,19775.0,8.06,2.57,5.91,26.05,1,1,0,0,1
Los Angeles,CL LSQ,Biobío,218386.0,8.35,1.65,10.54,29.82,1,1,1,0,1
Coronel,CL CNL,Biobío,123412.0,7.39,2.76,12.92,42.06,1,1,1,0,1
Lautaro,CL LAU,La Araucanía,41695.0,9.73,1.17,13.89,27.15,1,1,1,0,1
Chañaral,CL CNR,Atacama,12168.0,4.54,23.38,4.92,15.33,1,0,0,0,1
San Antonio,CL SAI,Valparaíso,95520.0,4.66,0.97,6.5,39.84,1,1,1,0,0
Valparaíso,CL VAP,Valparaíso,280357.0,0.84,1.69,6.53,54.4,1,1,1,0,0
Natales,CL CVJ,Magallanes y de la Antártica Chilena,23878.0,12.4,0.52,7.16,16.4,1,1,1,0,0
La Estrella,CL LES,Libertador General Bernardo O'Higgins,4587.0,15.95,1.18,12.14,2.26,1,0,0,1,1
Isla de Maipo,CL IDM,Metropolitana de Santiago,39062.0,13.38,1.3,14.05,19.54,1,1,1,0,1
Salamanca,CL SAL,Coquimbo,27789.0,8.3,20.46,4.74,14.13,1,1,1,0,1
Santa Cruz,CL SCZ,Libertador General Bernardo O'Higgins,40754.0,19.06,0.87,7.38,20.43,1,1,1,1,0
Chillán,CL YAI,Ñuble,188835.0,4.8,1.22,7.55,32.28,1,1,1,0,0
Hualpén,CL HPN,Biobío,87346.0,2.28,2.41,11.11,49.99,1,1,1,0,1
Curicó,CL CUR,Maule,158659.0,16.9,0.94,8.41,20.85,1,1,1,1,0
Romeral,CL ROM,Maule,17216.0,37.04,0.74,7.8,8.1,1,0,0,1,0
Talca,CL TLX,Maule,230184.0,3.9,1.29,8.36,30.08,1,1,1,0,0
San Fernando,CL SFD,Libertador General Bernardo O'Higgins,75449.0,14.51,1.44,9.79,24.0,1,1,1,0,1
Padre Hurtado,CL PHU,Metropolitana de Santiago,81112.0,1.49,1.61,14.04,27.3,1,1,1,0,1
Lago Ranco,CL RNC,Los Ríos,10527.0,18.04,0.46,5.91,11.33,1,0,0,1,0
La Florida,CL LFL,Metropolitana de Santiago,373466.0,0.27,1.43,6.87,52.72,1,1,1,0,0
Rancagua,CL QRC,Libertador General Bernardo O'Higgins,254165.0,4.17,9.87,7.96,31.98,1,1,1,0,1
Temuco,CL ZCO,La Araucanía,290433.0,2.0,0.53,6.62,39.59,1,1,1,0,0
Sagrada Familia,CL SAF,Maule,19416.0,46.13,0.72,8.95,12.46,1,0,0,1,0
Tiltil,CL TIL,Metropolitana de Santiago,19534.0,6.4,5.85,13.19,21.87,1,1,0,0,1
Independencia,CL IND,Metropolitana de Santiago,116089.0,0.26,0.92,8.91,66.89,1,1,1,0,0
Río Claro,CL RCL,Maule,14270.0,50.61,0.91,4.39,16.31,1,0,0,1,0
Vichuquén,CL VCQ,Maule,4710.0,12.54,0.67,5.62,2.49,1,0,0,0,0
Taltal,CL TTC,Antofagasta,11913.0,10.18,22.62,4.01,8.16,1,0,0,0,1
Colbún,CL COB,Maule,22568.0,22.65,5.19,6.02,15.4,1,1,1,1,1
María Pinto,CL MPI,Metropolitana de Santiago,15350.0,25.79,1.03,6.27,24.37,1,1,0,1,0
Curacaví,CL CRV,Metropolitana de Santiago,35064.0,9.64,1.47,8.32,14.75,1,1,1,0,0
Copiapó,CL CPO,Atacama,167281.0,2.33,20.17,4.98,27.53,1,1,1,0,1
Frutillar,CL FRT,Los Lagos,22527.0,13.95,0.7,7.55,23.46,1,1,1,0,0
San Bernardo,CL SBD,Metropolitana de Santiago,304977.0,1.16,1.71,11.08,51.53,1,1,1,0,1
Coquimbo,CL CQQ,Coquimbo,262907.0,4.87,10.75,6.2,29.92,1,1,1,0,1
Requínoa,CL REQ,Libertador General Bernardo O'Higgins,29482.0,27.92,4.51,9.47,13.46,1,1,1,1,1
Puerto Montt,CL PMC,Los Lagos,274146.0,9.99,0.35,10.15,33.08,1,1,1,0,1
Villarrica,CL VIL,La Araucanía,67335.0,5.62,0.8,8.2,26.89,1,1,1,0,0
Osorno,CL ZOS,Los Lagos,165121.0,6.78,0.35,8.86,38.2,1,1,1,0,0
San Pedro de la Paz,CL SPP,Biobío,150671.0,2.29,2.01,9.49,34.38,1,1,1,0,1
San José de Maipo,CL SJM,Metropolitana de Santiago,17289.0,2.35,5.75,5.52,29.4,1,1,0,0,1
Calle Larga,CL CLL,Valparaíso,16594.0,11.12,14.97,5.22,17.95,1,0,0,0,1
Peñalolén,CL PLN,Metropolitana de Santiago,235724.0,0.31,1.42,5.83,47.43,1,1,1,0,0
La Cisterna,CL LCI,Metropolitana de Santiago,102478.0,0.26,1.15,9.45,54.27,1,1,1,0,1
Papudo,CL PAP,Valparaíso,7553.0,5.21,1.88,4.72,25.18,1,1,0,0,0
Diego de Almagro,CL DDA,Atacama,11339.0,0.17,28.88,4.48,14.32,1,0,0,0,1
Las Cabras,CL LCB,Libertador General Bernardo O'Higgins,27510.0,32.71,1.16,7.16,7.38,1,1,1,1,0
