unit_id,comuna,region,locode,anchor_score,cofinance_score,is_anchor,unit_anchor,unit_anchor_score,unit_size,unit_viable_anchor
19,Palmilla,Región del Libertador Bernardo O'Higgins,CL PMA,43.1,67.0,False,Santa Cruz,80.0,9,True
19,Chimbarongo,Región del Libertador Bernardo O'Higgins,CL CBG,50.9,35.6,False,Santa Cruz,80.0,9,True
19,Peralillo,Región del Libertador Bernardo O'Higgins,CL PER,34.8,67.2,False,Santa Cruz,80.0,9,True
19,Placilla,Región del Libertador Bernardo O'Higgins,CL PLA,41.9,37.4,False,Santa Cruz,80.0,9,True
20,Panguipulli,Región de Los Ríos,CL PAN,79.6,49.4,True,Panguipulli,79.6,3,True
20,Lanco,Región de Los Ríos,CL LAN,45.1,21.5,False,Panguipulli,79.6,3,True
20,Futrono,Región de Los Ríos,CL FUT,44.1,59.9,False,Panguipulli,79.6,3,True
21,Puchuncaví,Región de Valparaíso,CL PCI,79.2,91.3,True,Puchuncaví,79.2,11,True
21,Quillota,Región de Valparaíso,CL QTA,73.7,60.5,False,Puchuncaví,79.2,11,True
21,La Cruz,Región de Valparaíso,CL LCZ,37.8,55.6,False,Puchuncaví,79.2,11,True
21,Nogales,Región de Valparaíso,CL NOG,28.5,55.3,False,Puchuncaví,79.2,11,True
21,Quintero,Región de Valparaíso,,,,False,Puchuncaví,79.2,11,True
21,Zapallar,Región de Valparaíso,,,,False,Puchuncaví,79.2,11,True
21,Calera,Región de Valparaíso,CL LCL,47.3,49.0,False,Puchuncaví,79.2,11,True
21,Hijuelas,Región de Valparaíso,CL HIJ,29.6,63.1,False,Puchuncaví,79.2,11,True
21,Catemu,Región de Valparaíso,CL CAT,43.3,48.0,False,Puchuncaví,79.2,11,True
21,Llaillay,Región de Valparaíso,CL LLA,29.8,40.7,False,Puchuncaví,79.2,11,True
21,Panquehue,Región de Valparaíso,CL PQH,43.2,76.3,False,Puchuncaví,79.2,11,True
22,San Pedro de Atacama,Región de Antofagasta,CL SPA,77.9,51.7,True,San Pedro de Atacama,77.9,8,True
22,Antofagasta,Región de Antofagasta,CL ANF,76.2,81.5,False,San Pedro de Atacama,77.9,8,True
22,Sierra Gorda,Región de Antofagasta,CL SIG,68.2,96.5,False,San Pedro de Atacama,77.9,8,True
22,Calama,Región de Antofagasta,CL CJC,59.0,77.2,False,San Pedro de Atacama,77.9,8,True
22,Mejillones,Región de Antofagasta,CL MJS,49.7,94.0,False,San Pedro de Atacama,77.9,8,True
22,Taltal,Región de Antofagasta,CL TTC,35.6,85.5,False,San Pedro de Atacama,77.9,8,True
22,Ollagüe,Región de Antofagasta,CL OLL,31.5,68.3,False,San Pedro de Atacama,77.9,8,True
22,María Elena,Región de Antofagasta,CL MAE,36.5,82.2,False,San Pedro de Atacama,77.9,8,True
23,Alhué,Región Metropolitana de Santiago,CL ALH,77.6,89.7,True,Alhué,77.6,3,True
23,Paine,Región Metropolitana de Santiago,CL PNE,51.6,79.3,False,Alhué,77.6,3,True
23,San Pedro,Región Metropolitana de Santiago,CL SPE,9.1,44.4,False,Alhué,77.6,3,True
24,Puerto Montt,Región de Los Lagos,CL PMC,77.5,81.4,True,Puerto Montt,77.5,11,True
24,Puerto Varas,Región de Los Lagos,CL PVS,71.1,93.3,False,Puerto Montt,77.5,11,True
24,Los Muermos,Región de Los Lagos,CL LMU,54.6,31.2,False,Puerto Montt,77.5,11,True
24,Calbuco,Región de Los Lagos,CL CBC,27.4,58.7,False,Puerto Montt,77.5,11,True
24,Maullín,Región de Los Lagos,CL MLL,13.9,32.8,False,Puerto Montt,77.5,11,True
24,Cochamó,Región de Los Lagos,,,,False,Puerto Montt,77.5,11,True
24,Fresia,Región de Los Lagos,CL FRS,33.4,30.5,False,Puerto Montt,77.5,11,True
24,Frutillar,Región de Los Lagos,CL FRT,43.9,82.3,False,Puerto Montt,77.5,11,True
24,Llanquihue,Región de Los Lagos,CL LIA,33.2,68.3,False,Puerto Montt,77.5,11,True
24,Purranque,Región de Los Lagos,CL PRQ,38.2,59.3,False,Puerto Montt,77.5,11,True
24,Hualaihué,Región de Los Lagos,,,,False,Puerto Montt,77.5,11,True
25,San Carlos,Región de Ñuble,CL SCR,77.3,32.1,True,San Carlos,77.3,7,True
25,Chillán,Región de Ñuble,CL YAI,71.2,71.5,False,San Carlos,77.3,7,True
25,Coihueco,Región de Ñuble,CL COI,48.5,16.6,False,San Carlos,77.3,7,True
25,San Nicolás,Región de Ñuble,CL SNI,42.4,65.9,False,San Carlos,77.3,7,True
25,San Fabián,Región de Ñuble,CL SFN,40.2,45.7,False,San Carlos,77.3,7,True
25,Ñiquén,Región de Ñuble,CL NQN,37.6,27.8,False,San Carlos,77.3,7,True
25,Quillón,Región de Ñuble,CL QIN,41.8,19.6,False,San Carlos,77.3,7,True
26,Concón,Región de Valparaíso,CL CON,77.0,94.5,True,Concón,77.0,2,True
26,Limache,Región de Valparaíso,CL LIM,62.3,48.5,False,Concón,77.0,2,True
27,Osorno,Región de Los Lagos,CL ZOS,77.0,79.6,True,Osorno,77.0,6,True
27,San Pablo,Región de Los Lagos,CL SPB,46.1,51.5,False,Osorno,77.0,6,True
27,Río Negro,Región de Los Lagos,CL RNE,43.9,39.0,False,Osorno,77.0,6,True
27,San Juan de la Costa,Región de Los Lagos,CL SJC,31.9,5.0,False,Osorno,77.0,6,True
27,Puerto Octay,Región de Los Lagos,CL POC,25.6,69.0,False,Osorno,77.0,6,True
27,Puyehue,Región de Los Lagos,CL CSA,,68.2,False,Osorno,77.0,6,True
28,Padre Las Casas,Región de La Araucanía,CL PLC,76.8,27.5,True,Padre Las Casas,76.8,12,True
28,Vilcún,Región de La Araucanía,CL VCN,70.8,24.4,False,Padre Las Casas,76.8,12,True
28,Temuco,Región de La Araucanía,CL ZCO,68.2,75.6,False,Padre Las Casas,76.8,12,True
28,Nueva Imperial,Región de La Araucanía,CL NIM,66.9,14.0,False,Padre Las Casas,76.8,12,True
28,Cunco,Región de La Araucanía,CL CUN,43.7,45.3,False,Padre Las Casas,76.8,12,True
28,Freire,Región de La Araucanía,CL FRE,29.7,26.7,False,Padre Las Casas,76.8,12,True
28,Carahue,Región de La Araucanía,CL CAR,43.4,4.3,False,Padre Las Casas,76.8,12,True
28,Curarrehue,Región de La Araucanía,CL CRE,28.3,6.5,False,Padre Las Casas,76.8,12,True
28,Saavedra,Región de La Araucanía,CL SAA,23.8,2.7,False,Padre Las Casas,76.8,12,True
28,Teodoro Schmidt,Región de La Araucanía,CL TEO,32.9,3.9,False,Padre Las Casas,76.8,12,True
28,Toltén,Región de La Araucanía,CL TOL,38.9,6.3,False,Padre Las Casas,76.8,12,True
28,Cholchol,Región de La Araucanía,CL CHL,32.4,7.8,False,Padre Las Casas,76.8,12,True
29,Chillán Viejo,Región de Ñuble,CL CHV,75.5,52.8,True,Chillán Viejo,75.5,4,True
29,Bulnes,Región de Ñuble,CL BUL,53.8,36.5,False,Chillán Viejo,75.5,4,True
