unit_id,comuna,region,locode,anchor_score,cofinance_score,is_anchor,unit_anchor,unit_anchor_score,unit_size,unit_viable_anchor
52,Paredones,Región del Libertador Bernardo O'Higgins,CL PAR,42.3,20.2,False,Pichilemu,63.3,6,True
52,Pumanque,Región del Libertador Bernardo O'Higgins,CL PUM,29.9,41.7,False,Pichilemu,63.3,6,True
52,Litueche,Región del Libertador Bernardo O'Higgins,,,,False,Pichilemu,63.3,6,True
52,Marchigüe,Región del Libertador Bernardo O'Higgins,,,,False,Pichilemu,63.3,6,True
52,Navidad,Región del Libertador Bernardo O'Higgins,CL NAV,46.5,19.8,False,Pichilemu,63.3,6,True
53,Villarrica,Región de La Araucanía,CL VIL,63.0,82.3,True,Villarrica,63.0,5,True
53,Pitrufquén,Región de La Araucanía,CL PIT,61.9,22.8,False,Villarrica,63.0,5,True
53,Pucón,Región de La Araucanía,CL PUC,61.5,95.7,False,Villarrica,63.0,5,True
53,Loncoche,Región de La Araucanía,CL LNC,42.2,30.5,False,Villarrica,63.0,5,True
53,Gorbea,Región de La Araucanía,CL GOR,26.7,19.6,False,Villarrica,63.0,5,True
54,Natales,Región de Magallanes y Antártica Chilena,CL CVJ,62.9,73.0,True,Natales,62.9,3,True
54,Río Verde,Región de Magallanes y Antártica Chilena,CL RVE,33.2,75.0,False,Natales,62.9,3,True
54,Torres del Paine,Región de Magallanes y Antártica Chilena,CL TDP,12.3,50.3,False,Natales,62.9,3,True
55,Purén,Región de La Araucanía,CL PUR,62.8,8.0,True,Purén,62.8,4,True
55,Angol,Región de La Araucanía,CL ANG,53.6,27.1,False,Purén,62.8,4,True
55,Los Sauces,Región de La Araucanía,CL LSA,10.4,23.5,False,Purén,62.8,4,True
55,Renaico,Región de La Araucanía,CL RNO,31.5,46.8,False,Purén,62.8,4,True
56,Curacautín,Región de La Araucanía,CL CCN,62.5,19.3,True,Curacautín,62.5,5,True
56,Lautaro,Región de La Araucanía,CL LAU,55.3,67.0,False,Curacautín,62.5,5,True
56,Collipulli,Región de La Araucanía,CL CPI,51.8,59.0,False,Curacautín,62.5,5,True
56,Lonquimay,Región de La Araucanía,CL LQY,32.5,6.4,False,Curacautín,62.5,5,True
56,Melipeuco,Región de La Araucanía,CL MLP,17.6,5.3,False,Curacautín,62.5,5,True
57,Arica,Región de Arica y Parinacota,CL ARI,62.3,62.7,True,Arica,62.3,4,True
57,General Lagos,Región de Arica y Parinacota,CL GLG,26.7,25.5,False,Arica,62.3,4,True
57,Putre,Región de Arica y Parinacota,CL PUT,20.9,29.4,False,Arica,62.3,4,True
57,Camarones,Región de Arica y Parinacota,CL CAM,4.8,62.5,False,Arica,62.3,4,True
58,Los Andes,Región de Valparaíso,CL LIB,62.1,61.7,True,Los Andes,62.1,6,True
58,San Felipe,Región de Valparaíso,CL SFP,53.8,53.0,False,Los Andes,62.1,6,True
58,Calle Larga,Región de Valparaíso,CL CLL,52.6,80.7,False,Los Andes,62.1,6,True
58,San Esteban,Región de Valparaíso,CL SES,48.1,49.8,False,Los Andes,62.1,6,True
58,Santa María,Región de Valparaíso,CL SMA,27.8,48.8,False,Los Andes,62.1,6,True
58,Rinconada,Región de Valparaíso,CL RIN,38.0,84.1,False,Los Andes,62.1,6,True
59,Portezuelo,Región de Ñuble,CL POR,61.3,6.2,True,Portezuelo,61.3,3,True
59,Ranquil,Región de Ñuble,CL RAN,39.3,60.0,False,Portezuelo,61.3,3,True
59,Coelemu,Región de Ñuble,CL COE,28.4,24.7,False,Portezuelo,61.3,3,True
60,Yungay,Región de Ñuble,CL YUN,60.1,30.6,True,Yungay,60.1,3,True
60,Pemuco,Región de Ñuble,CL PEM,44.5,64.0,False,Yungay,60.1,3,True
60,Pinto,Región de Ñuble,CL PIN,34.3,56.2,False,Yungay,60.1,3,True
61,Las Cabras,Región del Libertador Bernardo O'Higgins,CL LCB,60.0,86.9,True,Las Cabras,60.0,5,True
61,Peumo,Región del Libertador Bernardo O'Higgins,CL PEU,40.3,38.1,False,Las Cabras,60.0,5,True
61,Coltauco,Región del Libertador Bernardo O'Higgins,CL CTC,39.7,16.0,False,Las Cabras,60.0,5,True
61,Pichidegua,Región del Libertador Bernardo O'Higgins,CL PDH,38.4,39.2,False,Las Cabras,60.0,5,True
61,La Estrella,Región del Libertador Bernardo O'Higgins,CL LES,15.8,84.0,False,Las Cabras,60.0,5,True
62,San Miguel,Región Metropolitana de Santiago,CL SMG,59.6,79.9,True,San Miguel,59.6,2,True
62,La Granja,Región Metropolitana de Santiago,,,,False,San Miguel,59.6,2,True
63,Buin,Región Metropolitana de Santiago,CL BUI,59.3,68.6,True,Buin,59.3,2,True
63,Isla de Maipo,Región Metropolitana de Santiago,CL IDM,37.6,65.7,False,Buin,59.3,2,True
64,Ancud,Región de Los Lagos,CL ZUD,57.8,28.8,True,Ancud,57.8,2,True
64,Quemchi,Región de Los Lagos,CL QMC,31.8,35.6,False,Ancud,57.8,2,True
65,El Tabo,Región de Valparaíso,CL ELT,57.4,33.0,True,El Tabo,57.4,1,True
66,Vallenar,Región de Atacama,CL VLR,57.3,59.4,True,Vallenar,57.3,5,True
66,Alto del Carmen,Región de Atacama,CL ADC,43.4,62.9,False,Vallenar,57.3,5,True
66,Tierra Amarilla,Región de Atacama,CL TAM,38.5,93.2,False,Vallenar,57.3,5,True
66,Freirina,Región de Atacama,CL FRN,24.5,56.4,False,Vallenar,57.3,5,True
66,Huasco,Región de Atacama,,,,False,Vallenar,57.3,5,True
67,Lebu,Región del Bío-Bío,CL LEB,56.0,8.2,True,Lebu,56.0,6,True
67,Arauco,Región del Bío-Bío,CL ARA,55.2,50.0,False,Lebu,56.0,6,True
67,Los Alamos,Región del Bío-Bío,CL LAL,53.1,9.7,False,Lebu,56.0,6,True
67,Cañete,Región del Bío-Bío,CL CTE,33.4,9.8,False,Lebu,56.0,6,True
67,Contulmo,Región del Bío-Bío,CL CTM,41.5,5.4,False,Lebu,56.0,6,True
67,Tirúa,Región del Bío-Bío,CL TIR,54.0,3.1,False,Lebu,56.0,6,True
68,Tocopilla,Región de Antofagasta,CL TOQ,27.3,58.4,True,Tocopilla,27.3,1,False
69,Juan Fernández,Región de Valparaíso,,,,True,Juan Fernández,,1,False
70,Isla de Pascua,Región de Valparaíso,CL IPC,44.6,0.2,True,Isla de Pascua,44.6,1,False
71,Antuco,Región del Bío-Bío,CL ANT,28.5,35.0,True,Antuco,28.5,1,False
72,Curaco de Vélez,Región de Los Lagos,CL CDV,46.3,8.9,True,Curaco de Vélez,46.3,2,False
72,Quinchao,Región de Los Lagos,CL QCO,44.4,30.6,False,Curaco de Vélez,46.3,2,False
73,Puqueldón,Región de Los Lagos,CL PQD,24.7,26.2,True,Puqueldón,24.7,1,False
74,Chaitén,Región de Los Lagos,CL WCH,25.4,55.7,False,Palena,36.9,3,False
74,Palena,Región de Los Lagos,CL PAL,36.9,23.7,True,Palena,36.9,3,False
74,Futaleufú,Región de Los Lagos,CL FFU,28.5,20.9,False,Palena,36.9,3,False
75,Guaitecas,Región de Aysén del Gral. Ibañez del Campo,,,,True,Guaitecas,,1,False
76,Cabo de Hornos,Región de Magallanes y Antártica Chilena,,,,False,Porvenir,35.9,4,False
76,Timaukel,Región de Magallanes y Antártica Chilena,CL TIM,32.1,31.1,False,Porvenir,35.9,4,False
76,Porvenir,Región de Magallanes y Antártica Chilena,CL PVR,35.9,74.2,True,Porvenir,35.9,4,False
76,Primavera,Región de Magallanes y Antártica Chilena,CL PRI,31.2,40.6,False,Porvenir,35.9,4,False
