city_name,city_id,locode,country_code,region_name,attribute_type,attribute_value,attribute_units,datasource,datasource_date,attribute_category,dataset_id,release_id
Alto Hospicio,6kqjnu7kqd2fjtm5hm0g,CL AHP,CL,Tarapacá,employment_manufacturing,5.87,percent,cl-ine-censo,"2,024",low,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Alto Hospicio,6kqjnu7kqd2fjtm5hm0g,CL AHP,CL,Tarapacá,employment_mining,10.47,percent,cl-ine-censo,"2,024",very high,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Alto Hospicio,6kqjnu7kqd2fjtm5hm0g,CL AHP,CL,Tarapacá,employment_water_waste,1.22,percent,cl-ine-censo,"2,024",very high,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Alto Hospicio,6kqjnu7kqd2fjtm5hm0g,CL AHP,CL,Tarapacá,fixed_internet_household_share,60.45,percent,cl-ine-censo,"2,024",high,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Alto Hospicio,6kqjnu7kqd2fjtm5hm0g,CL AHP,CL,Tarapacá,home_ownership,55.81,percent,cl-ine-censo,"2,024",very low,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Alto Hospicio,6kqjnu7kqd2fjtm5hm0g,CL AHP,CL,Tarapacá,indigenous_identification_rate,29.38,percent,cl-ine-censo,"2,024",very high,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Alto Hospicio,6kqjnu7kqd2fjtm5hm0g,CL AHP,CL,Tarapacá,literacy_rate,95.33,percent,cl-ine-censo,"2,024",high,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Alto Hospicio,6kqjnu7kqd2fjtm5hm0g,CL AHP,CL,Tarapacá,mean_years_schooling,9.08,years,cl-ine-censo,"2,024",low,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Alto Hospicio,6kqjnu7kqd2fjtm5hm0g,CL AHP,CL,Tarapacá,population,139445.0,persons,cl-ine-censo,"2,024",very high,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Alto Hospicio,6kqjnu7kqd2fjtm5hm0g,CL AHP,CL,Tarapacá,renter_share,22.97,percent,cl-ine-censo,"2,024",high,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Camiña,6kw9f9fh19vk9xedgz97,CL CMA,CL,Tarapacá,disability_prevalence,11.76,percent,cl-ine-censo,"2,024",low,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Camiña,6kw9f9fh19vk9xedgz97,CL CMA,CL,Tarapacá,electricity_access_rate,97.29,percent,cl-ine-censo,"2,024",very low,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Camiña,6kw9f9fh19vk9xedgz97,CL CMA,CL,Tarapacá,employment_agriculture_forestry,38.72,percent,cl-ine-censo,"2,024",very high,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Camiña,6kw9f9fh19vk9xedgz97,CL CMA,CL,Tarapacá,employment_construction,8.51,percent,cl-ine-censo,"2,024",medium,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Camiña,6kw9f9fh19vk9xedgz97,CL CMA,CL,Tarapacá,employment_electricity_gas,0.64,percent,cl-ine-censo,"2,024",very low,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Camiña,6kw9f9fh19vk9xedgz97,CL CMA,CL,Tarapacá,employment_in_transport_and_logistics,3.19,percent,cl-ine-censo,"2,024",very low,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Camiña,6kw9f9fh19vk9xedgz97,CL CMA,CL,Tarapacá,employment_manufacturing,2.34,percent,cl-ine-censo,"2,024",very low,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Camiña,6kw9f9fh19vk9xedgz97,CL CMA,CL,Tarapacá,employment_mining,2.13,percent,cl-ine-censo,"2,024",high,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Camiña,6kw9f9fh19vk9xedgz97,CL CMA,CL,Tarapacá,employment_water_waste,0.43,percent,cl-ine-censo,"2,024",very low,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Camiña,6kw9f9fh19vk9xedgz97,CL CMA,CL,Tarapacá,fixed_internet_household_share,5.11,percent,cl-ine-censo,"2,024",very low,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Camiña,6kw9f9fh19vk9xedgz97,CL CMA,CL,Tarapacá,home_ownership,65.85,percent,cl-ine-censo,"2,024",low,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Camiña,6kw9f9fh19vk9xedgz97,CL CMA,CL,Tarapacá,indigenous_identification_rate,87.32,percent,cl-ine-censo,"2,024",very high,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Camiña,6kw9f9fh19vk9xedgz97,CL CMA,CL,Tarapacá,literacy_rate,92.51,percent,cl-ine-censo,"2,024",very low,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Camiña,6kw9f9fh19vk9xedgz97,CL CMA,CL,Tarapacá,mean_years_schooling,7.45,years,cl-ine-censo,"2,024",very low,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Camiña,6kw9f9fh19vk9xedgz97,CL CMA,CL,Tarapacá,population,1335.0,persons,cl-ine-censo,"2,024",very low,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Camiña,6kw9f9fh19vk9xedgz97,CL CMA,CL,Tarapacá,renter_share,12.27,percent,cl-ine-censo,"2,024",low,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Colchane,6kx1cmj2jc6sz1z24v0n,CL CNE,CL,Tarapacá,disability_prevalence,13.85,percent,cl-ine-censo,"2,024",high,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Colchane,6kx1cmj2jc6sz1z24v0n,CL CNE,CL,Tarapacá,electricity_access_rate,83.4,percent,cl-ine-censo,"2,024",very low,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Colchane,6kx1cmj2jc6sz1z24v0n,CL CNE,CL,Tarapacá,employment_agriculture_forestry,23.59,percent,cl-ine-censo,"2,024",high,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Colchane,6kx1cmj2jc6sz1z24v0n,CL CNE,CL,Tarapacá,employment_construction,15.38,percent,cl-ine-censo,"2,024",very high,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
Colchane,6kx1cmj2jc6sz1z24v0n,CL CNE,CL,Tarapacá,employment_electricity_gas,0.0,percent,cl-ine-censo,"2,024",very low,03592731-7450-80c7-f709-5762c08d154c,1344fd18-f8ee-c926-cf35-cc92eeb067ba
