action_id,action,sector,priority,best_funder,best_funder_inst,role,af,cf,combined,verdict
icare_0120,Implement energy efficiency criteria and indicators in the p,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0137,Replace Inefficient Lighting with LED Technology in Public S,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
c40_0010,Introduce energy-efficiency standards for new residential bu,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
c40_0012,Introduce energy-efficiency standards for new institutional ,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
c40_0013,Support Implementation of Industrial Building Efficiency Sta,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
c40_0015,Retrofit residential buildings for energy efficiency,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
c40_0016,Retrofit commercial and institutional other non-residential ,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
c40_0017,Retrofit municipal buildings for energy efficiency,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
c40_0018,Optimize energy efficiency and sustainability standards for ,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
c40_0071,Promote the phase out the reliance on fossil fuels for cooki,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
ipcc_0074,Promote compact urban form through spatial planning,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0053,Support cooperatives of voluntary waste collectors to aggreg,waste,0.1507,FPR 2026 - Fondo para el Reciclaje,Ministerio del Medio Ambiente (MMA),applicant,1.0,1.0,1.0,match
icare_0064,Develop an organic waste management strategy,waste,0.1507,FPR 2026 - Fondo para el Reciclaje,Ministerio del Medio Ambiente (MMA),applicant,1.0,1.0,1.0,match
icare_0110,Regulate Construction and Demolition Waste Management to imp,waste,0.1507,FPR 2026 - Fondo para el Reciclaje,Ministerio del Medio Ambiente (MMA),applicant,1.0,1.0,1.0,match
icare_0111,Strengthen Extended Producer Responsibility (EPR) Systems,waste,0.1507,FPR 2026 - Fondo para el Reciclaje,Ministerio del Medio Ambiente (MMA),applicant,1.0,1.0,1.0,match
c40_0034,Enact and enforce material bans in order to restrict single ,waste,0.1507,FPR 2026 - Fondo para el Reciclaje,Ministerio del Medio Ambiente (MMA),applicant,1.0,1.0,1.0,match
c40_0035,Optmize waste management systems,waste,0.1507,FPR 2026 - Fondo para el Reciclaje,Ministerio del Medio Ambiente (MMA),applicant,1.0,1.0,1.0,match
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas ,waste,0.1507,FPR 2026 - Fondo para el Reciclaje,Ministerio del Medio Ambiente (MMA),applicant,1.0,1.0,1.0,match
c40_0037,Implement residential and business segregated collection of ,waste,0.1507,FPR 2026 - Fondo para el Reciclaje,Ministerio del Medio Ambiente (MMA),applicant,1.0,1.0,1.0,match
c40_0040,Implement Volume-Based Collection policy,waste,0.1507,FPR 2026 - Fondo para el Reciclaje,Ministerio del Medio Ambiente (MMA),applicant,1.0,1.0,1.0,match
icare_0031,Capture & Use Biogas at Wastewater Treatment Plants',waste,0.1507,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Ministerio del Medio Ambiente (MMA))
icare_0001,Improve heat and energy recovery,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
icare_0034,Improve Fuel Supply Systems for Industrial Heating,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
icare_0071,Increase efficiency of industrial furnaces and kilns,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
icare_0072,Improve Heat Recovery and Reuse through Heat Exchanger Netwo,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
icare_0074,Adopt industrial energy efficiency technologies,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
icare_0076,Electrify Industrial Processes (with Renewable Power),industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
icare_0078,Decarbonize industrial feedstocks,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
icare_0079,Implement carbon capture and utilization (CCU),industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
icare_0082,Implement carbon capture and storage (CCS),industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
ipcc_0023,Design products with lightweight materials,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
ipcc_0024,Improve material utilization efficiency in production,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
ipcc_0025,"Design for Recovery, Reuse, or Repurposing",industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
ipcc_0026,Adopt alternative feedstocks in industrial production,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
ipcc_0031,Enhanced product service levels per product (e.g. product sh,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
ipcc_0033,Improve product maintenance to extend lifespan,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
ipcc_0037,Adopt net-zero-emissions materials and supply chains,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
ipcc_0038,Stimulate solar energy production in industrial facilities,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
ipcc_0039,Promote the substitution of traditional materials with susta,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
ipcc_0040,Promote industry-government collaborations on emissions redu,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
ipcc_0041,Support research into carbon-neutral manufacturing technolog,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
ipcc_0042,Set carbon emissions reduction targets for industrial sector,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
ipcc_0043,Encourage the Use of Zero-Emission Fuels in Industrial Proce,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
ipcc_0045,Transition to renewable energy for industrial operations,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
ipcc_0049,Develop and implement circular economy policies,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
ipcc_0050,Create tax incentives for companies adopting clean technolog,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
ipcc_0076,Implement energy audits in industrial plants,industry/IPPU,0.1365,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,best-fit funder needs referrer route (Corporación de Fomento de la Producción (CORFO))
icare_0045,"Promote organic, regenerative and agroecological agriculture",afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
icare_0050,Accelerate the adoption of Agroforestry',afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
icare_0069,Complete ecological and agroclimatic mapping,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
icare_0099,Increase local participation in Agroecological Certification,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
icare_0101,Accelerate the adoption of Zero Emission Agricultural Machin,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
icare_0122,Establish eco-parks.,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
icare_0127,Improve Accelerate Environmental Regularization of Rural Pro,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
icare_0128,Establish Municipal Programs for Payment for Environmental S,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
icare_0131,Prioritize Procurement of Locally Produced Agroecological Pr,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
icare_0132,Encourage Local Agroecological Production and Short Supply C,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
c40_0042,Expand urban and peri-urban green spaces,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
ipcc_0028,"Behavioral Changes for Reduced Waste (e.g., Food)",afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
ipcc_0034,Promote consumer behavior focused on sufficiency and reduced,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
ipcc_0052,Reduce Deforestation and Degradation,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
ipcc_0053,"Implement afforestation, reforestation, and forest ecosystem",afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
ipcc_0054,Adopt sustainable forest management practices,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
ipcc_0055,"Implement fire management in forests, grasslands, and savann",afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
ipcc_0056,Reduce and prevent degradation and conversion of Grasslands ,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
ipcc_0057,Restore degraded peatlands and prevent further conversion or,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
ipcc_0060,Protect and Restore Coastal Wetlands,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
ipcc_0062,Create partnerships to implement biochar plants.,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
ipcc_0064,Reduce methane emissions from enteric fermentation in livest,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
ipcc_0067,Improve manure management and crop nutrient practices,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
ipcc_0068,Pilot Bioenergy with Carbon Capture in Partnership with Util,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
ipcc_0069,Promote sustainable and healthy diets,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
ipcc_0070,Reduce food loss and waste,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
ipcc_0071,Increase sustainable use of wood products,afolu,0.1133,Programa Concursable de Espacios Públicos,MINVU (Ministerio de Vivienda y Urbanismo),applicant,1.0,1.0,1.0,match
