action_id,action,sector,priority,best_funder,best_funder_inst,role,af,cf,combined,verdict
icare_0117,Improve public transport systems to promote modal shift,transportation,0.3134,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,match
icare_0121,"Incentive to create bike-sharing programs in urban areas, wi",transportation,0.3134,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,match
icare_0139,Implement congestion pricing and restrictions on high-pollut,transportation,0.3134,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,match
c40_0023,Adopt zero-emission bus fleets for public transport,transportation,0.3134,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,match
c40_0025,Promote deployment of zero-emission freight fleets (trucks),transportation,0.3134,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,match
c40_0029,Electrify municipal vehicle fleets,transportation,0.3134,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,match
ipcc_0001,Promote compact urban form and transit-oriented development,transportation,0.3134,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,match
ipcc_0105,Promote active mobility through road space reallocation,transportation,0.3134,Programa de Prevención y Mitigación de Riesgos (PMR),SUBDERE,applicant,0.61,1.0,0.61,match
icare_0002,Promote and expand the use of the Brazilian Energy Labeling ,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0006,Develop integrated renewable energy planning and solar–batte,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0008,Enable smart grid integration and distributed energy storage,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0009,Deploy cogeneration systems in industries,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0010,Promote Net-Zero and Green Building Certifications,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0012,Expand solar energy generation on municipal facilities and p,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0015,Promote Mini and Micro-Hydropower and Biomass Energy,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0016,Promote solar thermal and heat pump systems for water heatin,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0023,Upgrade and maintain electrical substations,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0024,Integrate renewables into municipal water systems,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0025,Promote energy-efficient and climate-resilient housing for l,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0026,Implement time-of-use electricity tariffs to enhance demand-,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0027,Create financing programs for local renewable energy project,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0028,Promote passive cooling through natural shading and ventilat,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0033,Install biodigesters in rural properties,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0035,Enhance industrial energy efficiency processes,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0040,Deploy energy-efficient and solar-powered street lighting ac,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0049,Develop regional hubs for renewable energy production,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0104,Adopt hybrid renewable energy systems (solar-wind),stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
icare_0105,Reduce technical losses in energy distribution networks,stationary_energy,0.2861,Mejor Escuela (energías renovables / acond. térmico escuelas),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,1.0,1.0,1.0,match
