municipio,fcm_dependency_pct_2023
ALGARROBO,16.76
ALHUÉ,20.87
ALTO BIOBÍO,80.05
ALTO DEL CARMEN,67.78
ALTO HOSPICIO,71.51
ANCUD,72.00
ANDACOLLO,68.02
ANGOL,75.84
ANTOFAGASTA,18.97
ANTUCO,85.44
ARAUCO,68.12
ARICA,55.63
AYSÉN,61.65
BUIN,30.11
BULNES,72.81
CABILDO,69.26
CABO DE HORNOS,89.40
CABRERO,76.36
CALAMA,29.15
CALBUCO,61.86
CALDERA,72.53
CALERA,64.50
CALERA DE TANGO,28.73
CALLE LARGA,36.70
CAMARONES,70.34
CAMIÑA,96.40
CANELA,70.94
CAÑETE,85.99
CARAHUE,90.33
CARTAGENA,87.27
CASABLANCA,22.08
CASTRO,70.59
CATEMU,69.06
CAUQUENES,75.87
CERRILLOS,21.49
CERRO NAVIA,87.19
CHAITÉN,66.85
CHANCO,86.23
CHAÑARAL,51.08
CHÉPICA,73.86
CHIGUAYANTE,62.22
CHILE CHICO,84.28
CHILLÁN,49.43
CHILLÁN VIEJO,64.30
CHIMBARONGO,71.38
CHOLCHOL,88.11
CHONCHI,61.23
CISNES,45.04
COBQUECURA,85.41
COCHAMÓ,75.19
COCHRANE,86.28
CODEGUA,67.52
COELEMU,80.23
COIHUECO,83.33
COINCO,77.68
COLBÚN,41.93
COLCHANE,77.27
COLINA,12.80
COLLIPULLI,61.85
COLTAUCO,81.72
COMBARBALÁ,86.07
CONCEPCIÓN,18.22
CONCHALÍ,56.77
CONCÓN,14.39
CONSTITUCIÓN,70.67
CONTULMO,91.89
COPIAPÓ,40.71
COQUIMBO,39.17
CORONEL,52.90
CORRAL,88.47
COYHAIQUE,58.10
CUNCO,69.41
CURACAUTÍN,82.44
CURACAVÍ,41.14
CURACO DE VÉLEZ,90.06
CURANILAHUE,77.72
CURARREHUE,89.34
CUREPTO,82.51
CURICÓ,47.08
DALCAHUE,75.65
DIEGO DE ALMAGRO,34.22
DOÑIHUE,67.82
EL BOSQUE,77.65
EL CARMEN,77.69
EL MONTE,54.94
EL QUISCO,83.10
EL TABO,87.31
EMPEDRADO,88.90
ERCILLA,85.74
