codigo_comuna,municipio,total_income_2023_mclp,ipp_percapita_2023_mclp,fcm_dependency_pct_2023,ipp_share_total_pct_2023
04305,RÍO HURTADO,4071388,122.44,82.01,13.01
05101,VALPARAÍSO,116336429,99.01,50.82,27.21
05102,CASABLANCA,16079529,312.11,22.08,58.64
05103,CONCÓN,20352472,299.45,14.39,70.1
05104,JUAN FERNÁNDEZ,2826722,68.14,96.42,2.62
05105,PUCHUNCAVÍ,13299944,351.56,26.65,55.4
05107,QUINTERO,20426801,111.89,77.45,20.84
05109,VIÑA DEL MAR,126151913,264.64,10.28,77.47
05201,ISLA DE PASCUA,20850251,19.24,99.17,0.81
05301,LOS ANDES,18202431,93.79,57.26,35.44
05302,CALLE LARGA,12849726,246.67,36.7,33.38
05303,RINCONADA,9333783,280.67,30.13,35.62
05304,SAN ESTEBAN,7503647,90.28,67.75,25.86
05401,LA LIGUA,12040162,90.07,65.2,28.62
05402,CABILDO,6738627,83.32,69.26,25.65
05403,PAPUDO,7821540,576.13,34.53,47.03
05404,PETORCA,6814067,162.28,61.83,25.28
05405,ZAPALLAR,28026454,2254.73,8.77,66.62
05501,QUILLOTA,24860011,87.76,56.99,35.37
05502,CALERA,15636415,79.92,64.5,27.53
05503,HIJUELAS,6706572,113.08,58.54,32.69
05504,LA CRUZ,7733419,85.78,58.89,30.26
05506,NOGALES,8087321,96.28,61.93,28.12
05601,SAN ANTONIO,27756332,116.16,51.06,41.08
05602,ALGARROBO,18672506,679.48,16.76,57.81
05603,CARTAGENA,17835137,72.21,87.27,10.79
05604,EL QUISCO,20975477,175.89,83.1,15.59
05605,EL TABO,18360418,143.28,87.31,11.71
05606,SANTO DOMINGO,23287968,1342.96,11.41,71.83
05701,SAN FELIPE,20729592,78.05,60.98,32.4
05702,CATEMU,5541813,90.26,69.06,25.41
05703,LLAILLAY,7549993,69.67,69.52,25.03
05704,PANQUEHUE,4741493,213.79,54.24,35.14
05705,PUTAENDO,6326347,63.92,77.54,18.13
05706,SANTA MARÍA,7270259,96.78,65.59,22.4
05801,QUILPUÉ,59038673,69.71,60.96,20.32
05802,LIMACHE,14636381,78.28,64.16,27.43
05803,OLMUÉ,7316615,129.94,54.15,35.54
05804,VILLA ALEMANA,32724904,58.67,68.43,26.08
06101,RANCAGUA,94791180,97.51,45.48,28.01
06102,CODEGUA,5428123,87.01,67.52,23.25
06103,COINCO,4005266,87.16,77.68,17.37
06104,COLTAUCO,7805752,46.53,81.72,13.08
06105,DOÑIHUE,7442136,79.92,67.82,25.16
06106,GRANEROS,9481900,58.2,70.81,23.2
06107,LAS CABRAS,10450723,208.55,33.91,54.92
06108,MACHALÍ,14783391,127.03,27.05,54.69
06109,MALLOA,6763221,97.24,70.1,20.52
06110,MOSTAZAL,17431859,460.33,18.89,74.72
06111,OLIVAR,5676110,120.95,56.51,31.79
06112,PEUMO,4985841,77.33,71.8,23.29
06113,PICHIDEGUA,7387853,78.04,70.13,22.19
06114,QUINTA DE TILCOCO,5686443,83.78,71.87,20.91
06115,RENGO,16843049,88.09,60.39,34.16
06116,REQUÍNOA,9280087,139.4,38.57,47.18
06117,SAN VICENTE,14703252,79.26,66.47,27.98
06201,PICHILEMU,18487467,215.08,74.88,21.62
06202,LA ESTRELLA,4200871,582.81,50.25,43.05
06203,LITUECHE,4792281,242.45,54.18,34.95
06204,MARCHIHUE,12438554,545.73,33.31,33.78
06205,NAVIDAD,8548701,100.89,90.68,8.36
06206,PAREDONES,5380919,86.5,87.33,10.1
06301,SAN FERNANDO,21049104,115.73,46.22,44.28
06302,CHÉPICA,7082677,81.45,73.86,18.52
06303,CHIMBARONGO,10839486,66.02,71.38,23.32
06304,LOLOL,4206939,121.57,71.35,21.44
06305,NANCAGUA,7416091,110.47,61.27,29.18
06306,PALMILLA,5515778,131.08,56.55,32.16
06307,PERALILLO,6158865,144.43,56.2,28.37
06308,PLACILLA,4394158,89.63,73.77,18.89
06309,PUMANQUE,3627420,152.59,78.08,14.81
06310,SANTA CRUZ,12592700,122.12,49.89,40.96
07101,TALCA,57123517,106.77,46.33,45.06
07102,CONSTITUCIÓN,19110423,94.13,70.67,24.92
07103,CUREPTO,6048589,86.72,82.51,13.2
07104,EMPEDRADO,3901530,78.08,88.9,8.38
07105,MAULE,14568177,43.08,76.66,19.78
07106,PELARCO,14769850,521.53,32.18,32.95
07107,PENCAHUE,4981319,141.13,66.42,24.44
07108,RÍO CLARO,10309040,227.76,42.92,33.23
07109,SAN CLEMENTE,14639403,72.96,71.01,23.72
07110,SAN RAFAEL,4751752,110.3,69.73,23.89
07201,CAUQUENES,14823866,68.21,75.87,20.42
07202,CHANCO,5224304,60.75,86.23,10.79
07203,PELLUHUE,10000391,117.08,88.61,9.79
07301,CURICÓ,40714689,101.83,47.08,42.44
07302,HUALAÑÉ,5582716,119.1,68.53,21.82
07303,LICANTÉN,7330222,156.64,80.88,14.93
07304,MOLINA,15153461,73.31,70.87,24.93
07305,RAUCO,5487589,95.94,70.67,20.34
07306,ROMERAL,6885246,172.97,46.88,42.06
07307,SAGRADA FAMILIA,10376902,198.54,44.3,37.68
07308,TENO,9118550,106.75,54.5,37.04
07309,VICHUQUÉN,6588801,627.53,42.86,41.23
07401,LINARES,26747563,69.48,67.99,26.83
07402,COLBÚN,19423121,276.12,41.93,33.07
07403,LONGAVÍ,11164038,46.85,81.79,14.04
07404,PARRAL,15076220,76.18,71.11,22.91
07405,RETIRO,7318611,68.16,75.61,19.93
07406,SAN JAVIER,15642502,64.95,73.52,21.17
07407,VILLA ALEGRE,5988728,54.04,80.52,16.16
07408,YERBAS BUENAS,6901627,82.43,68.87,23.48
08101,CONCEPCIÓN,59631324,163.74,18.22,65.75
08102,CORONEL,43594901,113.8,52.9,33.48
08103,CHIGUAYANTE,25089170,79.89,62.22,29.23
08104,FLORIDA,5879450,56.29,85.91,11.36
08105,HUALQUI,8601609,49.75,82.36,15.4
08106,LOTA,20391252,44.71,83.33,9.97
08107,PENCO,14562429,80.01,65.76,27.54
08108,SAN PEDRO DE LA PAZ,30945738,98.82,37.5,48.49
08109,SANTA JUANA,8957549,106.98,75.52,17.76
08110,TALCAHUANO,44096055,157.71,29.59,56.59
08111,TOMÉ,23499209,64.02,79.55,16.09
08112,HUALPÉN,26382693,109.64,49.32,40.69
08201,LEBU,12152938,40.18,85.75,8.98
08202,ARAUCO,16372745,102.87,68.12,24.43
08203,CAÑETE,12961497,39.13,85.99,11.28
08204,CONTULMO,5813125,54.93,91.89,6
08205,CURANILAHUE,16503569,56.79,77.72,11.68
08206,LOS ÁLAMOS,10894394,42.97,83.6,9.02
08207,TIRÚA,6233910,36.63,91.43,6.52
08301,LOS ÁNGELES,54624654,97.42,52.93,39.7
08302,ANTUCO,5733250,154.69,85.44,11.66
08303,CABRERO,13111972,84.69,76.36,20.04
08304,LAJA,10752246,95.52,70.9,21.24
08305,MULCHÉN,9818030,74.33,70.21,23.55
08306,NACIMIENTO,9325340,91.05,65.84,27.35
08307,NEGRETE,5298433,84.07,76.53,16.72
08308,QUILACO,4704019,111.09,81.56,9.89
08309,QUILLECO,4639328,71.31,80.79,15.37
08310,SAN ROSENDO,3997585,52.5,93.43,4.68
08311,SANTA BÁRBARA,5107230,76.95,73.66,22.08
08312,TUCAPEL,8582485,96.87,71,17.36
08313,YUMBEL,11593234,77.51,81.25,14.84
08314,ALTO BIOBÍO,4186732,97.04,80.05,15.77
09101,TEMUCO,84562683,123.34,45.26,44.95
09102,CARAHUE,9844162,32.32,90.33,8.38
09103,CUNCO,10160949,109.84,69.41,19.53
09104,CURARREHUE,4044995,44.21,89.34,8.59
09105,FREIRE,8757986,65.7,78.01,19.12
09106,GALVARINO,7085992,49.77,86.93,8.84
09107,GORBEA,7835955,65.86,81.3,12.69
09108,LAUTARO,18089713,128.14,52.4,29.49
09109,LONCOCHE,9798935,73.07,75.41,18.48
09110,MELIPEUCO,5918755,54.79,91.88,5.84
09111,NUEVA IMPERIAL,12165415,46.12,83.81,12.92
09112,PADRE LAS CASAS,22635080,53.69,74.82,20.07
09113,PERQUENCO,5195678,93.75,82.23,13.1
09114,PITRUFQUÉN,9164930,60.14,80.15,17.39
09115,PUCÓN,18511101,444.28,17.2,73.22
09116,SAAVEDRA,6930154,35.43,91.87,6.49
09117,TEODORO SCHMIDT,6941020,33.75,90.18,7.66
09118,TOLTÉN,4884740,44.21,90.34,9.02
09119,VILCÚN,12882412,63.52,76.3,15.9
09120,VILLARRICA,19851897,159.78,38.35,48.55
09121,CHOLCHOL,5973991,43.3,88.11,9.12
09201,ANGOL,18682687,62.12,75.84,18.83
09202,COLLIPULLI,10464497,111.95,61.85,28.32
09203,CURACAUTÍN,10718034,69.23,82.44,11.76
09204,ERCILLA,5145134,62.68,85.74,10.24
09205,LONQUIMAY,7120071,46.9,89.63,7.31
09206,LOS SAUCES,5018506,82.99,83,12.38
09207,LUMACO,4916695,42.75,89.31,8.65
09208,PURÉN,5581761,43.65,88.44,9.48
09209,RENAICO,4915656,106.31,71.74,23.71
09210,TRAIGUÉN,10171608,68.48,80.72,12.99
09211,VICTORIA,12293851,74.19,73.12,21.45
10101,PUERTO MONTT,75294660,142.29,38.53,52.58
10102,CALBUCO,10734848,95.51,61.86,33.3
10103,COCHAMÓ,4004815,165.61,75.19,16.38
10104,FRESIA,4854920,74.48,76.16,19.32
10105,FRUTILLAR,8757635,185.57,39.92,43.82
10106,LOS MUERMOS,6447649,70.16,74.15,19.4
10107,LLANQUIHUE,6433863,120.34,54.85,35.18
10108,MAULLÍN,6980005,83.41,75.61,17.66
10109,PUERTO VARAS,18961125,253.16,17.33,67.65
10201,CASTRO,35527639,113.08,70.59,15.43
10202,ANCUD,28324522,78.31,72,11.75
10203,CHONCHI,13372410,133.65,61.23,16.2
10204,CURACO DE VÉLEZ,6796915,66.66,90.06,4.04
10205,DALCAHUE,12604431,80.68,75.65,9.84
10206,PUQUELDÓN,5555396,109.87,82.55,8.29
10207,QUEILÉN,,,,
10208,QUELLÓN,19586702,84.7,64.32,12.95
10209,QUEMCHI,5163129,103.36,78.19,17.54
10210,QUINCHAO,8966187,108.59,78.08,9.95
10301,OSORNO,44804307,130.29,37.97,51.09
10302,PUERTO OCTAY,5730024,176.34,55.74,27.97
10303,PURRANQUE,7169680,105.18,61.38,30.81
10304,PUYEHUE,,,,
10305,RÍO NEGRO,5484552,83.42,71.14,21.5
10306,SAN JUAN DE LA COSTA,5955300,50.25,91.68,6.31
10307,SAN PABLO,5322709,113.58,67.37,22.5
10401,CHAITÉN,8231125,253.08,66.85,15.56
10402,FUTALEUFÚ,4385694,105.65,89.16,6.96
10403,HUALAIHUÉ,5374463,124.02,72.03,22.1
10404,PALENA,2789407,117.8,90.09,7.7
11101,COYHAIQUE,21520617,119.21,58.1,34.28
11102,LAGO VERDE,3067915,489.76,80.14,14.61
11201,AYSÉN,11681203,143.88,61.65,31.02
