codigo_comuna,municipio,staff_planta_2023,staff_contrata_2023,professionalization_pct_2023
07305,RAUCO,23,21,45.45
07306,ROMERAL,55,43,41.84
07307,SAGRADA FAMILIA,56,52,37.04
07308,TENO,60,41,39.6
07309,VICHUQUÉN,25,30,41.82
07401,LINARES,183,108,32.65
07402,COLBÚN,38,25,30.16
07403,LONGAVÍ,71,35,33.96
07404,PARRAL,105,100,31.22
07405,RETIRO,53,23,36.84
07406,SAN JAVIER,116,64,31.67
07407,VILLA ALEGRE,44,42,32.56
07408,YERBAS BUENAS,47,25,26.39
08101,CONCEPCIÓN,413,187,44
08102,CORONEL,130,209,31.27
08103,CHIGUAYANTE,105,99,43.14
08104,FLORIDA,43,24,44.78
08105,HUALQUI,46,22,66.18
08106,LOTA,109,67,27.84
08107,PENCO,89,101,47.89
08108,SAN PEDRO DE LA PAZ,174,109,51.24
08109,SANTA JUANA,41,36,48.05
08110,TALCAHUANO,317,108,27.53
08111,TOMÉ,273,187,60
08112,HUALPÉN,85,196,38.43
08201,LEBU,52,57,39.45
08202,ARAUCO,96,72,33.33
08203,CAÑETE,52,59,26.13
08204,CONTULMO,39,25,43.75
08205,CURANILAHUE,83,52,29.63
08206,LOS ÁLAMOS,9,6,100
08207,TIRÚA,38,35,50.68
08301,LOS ÁNGELES,377,212,28.01
08302,ANTUCO,19,27,39.13
08303,CABRERO,64,59,45.53
08304,LAJA,52,23,42.67
08305,MULCHÉN,59,29,37.5
08306,NACIMIENTO,72,49,47.93
08307,NEGRETE,24,32,35.71
08308,QUILACO,32,21,32.08
08309,QUILLECO,24,45,46.38
08310,SAN ROSENDO,20,17,45.95
08311,SANTA BÁRBARA,37,37,51.35
08312,TUCAPEL,43,26,37.68
08313,YUMBEL,73,35,42.59
08314,ALTO BIOBÍO,22,46,38.24
09101,TEMUCO,483,295,29.95
09102,CARAHUE,62,47,33.94
09103,CUNCO,51,37,36.36
09104,CURARREHUE,40,4,43.18
09105,FREIRE,52,42,29.79
09106,GALVARINO,43,28,29.58
09107,GORBEA,47,31,30.77
09108,LAUTARO,86,56,33.8
09109,LONCOCHE,66,49,33.04
09110,MELIPEUCO,26,33,30.51
09111,NUEVA IMPERIAL,103,49,43.42
09112,PADRE LAS CASAS,108,79,44.39
09113,PERQUENCO,43,11,44.44
09114,PITRUFQUÉN,63,37,46
09115,PUCÓN,122,96,34.4
09116,SAAVEDRA,48,35,30.12
09117,TEODORO SCHMIDT,43,30,35.62
09118,TOLTÉN,40,26,43.94
09119,VILCÚN,51,28,55.7
09120,VILLARRICA,139,90,34.5
09121,CHOLCHOL,40,22,38.71
09201,ANGOL,133,90,29.6
09202,COLLIPULLI,44,29,42.47
09203,CURACAUTÍN,53,47,45
09204,ERCILLA,39,18,36.84
09205,LONQUIMAY,26,23,38.78
09206,LOS SAUCES,32,20,28.85
09207,LUMACO,45,20,33.85
09208,PURÉN,56,46,59.8
09209,RENAICO,34,25,40.68
09210,TRAIGUÉN,64,44,52.78
09211,VICTORIA,69,72,24.11
10101,PUERTO MONTT,378,292,36.87
10102,CALBUCO,60,48,24.07
10103,COCHAMÓ,25,14,25.64
10104,FRESIA,45,14,42.37
10105,FRUTILLAR,44,32,39.47
10106,LOS MUERMOS,26,38,53.13
10107,LLANQUIHUE,45,73,31.36
10108,MAULLÍN,24,25,26.53
10109,PUERTO VARAS,109,128,40.08
10201,CASTRO,150,59,40.19
10202,ANCUD,88,59,32.65
10203,CHONCHI,40,30,38.57
10204,CURACO DE VÉLEZ,39,11,50
10205,DALCAHUE,48,19,34.33
10206,PUQUELDÓN,40,20,35
10207,QUEILÉN,24,12,33.33
10208,QUELLÓN,80,20,48
10209,QUEMCHI,35,35,38.57
10210,QUINCHAO,69,14,38.55
10301,OSORNO,316,210,38.59
10302,PUERTO OCTAY,35,24,35.59
10303,PURRANQUE,58,26,36.9
10304,PUYEHUE,,,
